Mfg_PN,Mfg,Vendor_PN,Vendor,Description,Qty-1,Qty-5,Qty-25,Part References,Value
GRM188R71E104KA01D,Murata,490-1524-1-ND,Digikey,CAP CER 0.1UF 25V 10% X7R 0603,20,100,500,"C6, C8, C10, C13, C14, C16, C19, C22, C23, C24, C26, C28, C33, C35, C38, C45, C46, C47, C52, C54",0.1u
M22-2510505,Harwin,952-1314-ND,Digikey,CONN HEADER 2MM VERT AU 5POS,1,5,25,"PIC_PROG",1X5_ICSP
MCR03ERTF1001,Rohm,RHM1.00KCFCT-ND,Digikey,RES 1K OHM 1/10W 1% 0603 SMD,1,5,25,"R2",1k
GRM1885C1H102FA01D,Murata,490-6376-1-ND,Digikey,CAP CER 1000pF 50V 0603,2,10,50,"C42, C43",1n
GRM1885C1H102FA01D,Murata,490-6376-1-ND,Digikey,CAP CER 1000pF 50V 0603,5,25,125,"C4, C5, C7, C20, C21",1n
GRM1885C1H272JA01D,Murata,490-3283-1-ND,Digikey,CAP CER 2700pF 50V 0603,1,5,25,"C3",2.7n
MCR03ERTF3321,Rohm,RHM3.32KCFCT-ND,Digikey,RES 3.32K OHM 1/10W 1% 0603 SMD,2,10,50,"L5, L6",3.3k
MCR03ERTF3321,Rohm,RHM3.32KCFCT-ND,Digikey,RES 3.32K OHM 1/10W 1% 0603 SMD,1,5,25,"R6",3.3k
GRM21BR61E475KA12K,Murata,490-6475-1-ND,Digikey,CAP CER 4.7UF 25V 10% X5R 0805,2,10,50,"C25, C48",4.7u
MCR03ERTF4701,Rohm,RHM4.70KCFCT-ND,Digikey,RES 4.7K OHM 1/10W 1% 0603 SMD,1,5,25,"R1",4K7
MCR03ERTF1002,Rohm,RHM10.0KCFCT-ND,Digikey,RES 10K OHM 1/10W 1% 0603 SMD,1,5,25,"R7",10k
GRM1885C1H100FA01D,Murata,490-9713-1-ND,Digikey,CAP CER 10pF 50V 0603,19,95,475,"C9, C11, C12, C15, C17, C18, C27, C29, C30, C31, C32, C34, C36, C37, C40, C50, C51, C53, C55",10p
TH4C226K016C1400,Vishay,718-1911-1-ND,Digikey,22µF Molded Tantalum Capacitors 16V 2413,2,10,50,"C39, C41",22u
GRM188R71E473JA01D,Murata,490-11528-1-ND,Digikey,CAP CER 0.047µF 25V 0603,1,5,25,"C2",47n
ERJ-P06J510V,Panasonic,P51ADCT-ND,Digikey,RES SMD 51 OHM 5% 1/2W 0805,1,5,25,"R8",50
LQW18ANR10J00D,Murata,490-1179-1-ND,Digikey,INDUCTOR 100nH Unshielded Wirewound Inductor 220mA 680 mOhm Max 0603,2,10,50,"L7, L8",100n
LQW18ANR10J00D,Murata,490-1179-1-ND,Digikey,INDUCTOR 100nH Unshielded Wirewound Inductor 220mA 680 mOhm Max 0603,4,20,100,"L1, L2, L3, L4",100n
MCR03ERTF3600,Rohm,RHM360CFCT-ND,Digikey,RES SMD 360 OHM 1% 1/10W 0603,1,5,25,"R3",360
GRM1885C1H681JA01D,Murata,490-1447-1-ND,Digikey,CAP CER 680pF 50 0603,1,5,25,"C1",680p
LM7805CT,Fairchild,LM7805CT-ND,Digikey,Linear Voltage Regulator IC Positive Fixed 1 Output 5V 1A TO-220AB,1,5,25,"U5",7805T
ADF4351BCPZ-RL7,Analog Devices,ADF4351BCPZ-RL7CT-ND,Digikey,IC SYNTH PLL VCO 32LFCSP,1,5,25,"U1",ADF43510.3_VIA
ADL5330ACPZ-REEL7,Analog Devices,ADL5330ACPZ-REEL7CT-ND,Digikey,RF Amplifier IC,1,5,25,"U2",ADL5330
CX2156NL,Pulse,553-1499-ND,Digikey,RF Balun 2.3MHz ~ 2.7GHz 1:1 5-SMD,2,10,50,"TR1, TR2",CX2156NL
PIC18F26K22-I/SS,Microchip Technology,PIC18F26K22-I/SS-ND,Digikey,IC MCU 8BIT 64KB FLASH 28SSOP,1,5,25,"U3",PIC18F26K20-E/SS
1984617,Phoenix,277-1721-ND,Digikey,2 Position Wire to Board Terminal Block Horizontal with Board 0.138" (3.50mm) Through Hole,1,5,25,"6-12V_DC",PK5602
SMA-J-P-H-ST-EM1,Samtec,SAM8857-ND,Digikey,SMA Connector Jack, Female Socket 50 Ohm Board Edge, End Launch Solder,3,15,75,"REF_IN, RF_OUT_A, RF_OUT_B",SMA_CHINA
AP2114H-3.3TRG1,Diodes Inc,AP2114H-3.3TRG1DICT-ND,Digikey,Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 1A SOT-223,2,10,50,"U6, U7",V_REG_317SMD
*** ERROR - PART '*' NOT FOUND FOR: "PIC_REF"
*** ERROR - PART '*' NOT FOUND FOR: "PIC_UART, REF_SEL"
*** ERROR - PART '*' NOT FOUND FOR: "PIC_GPIO"
*** ERROR - PART '*' NOT FOUND FOR: "MUXOUT"
*** ERROR - PART '*' NOT FOUND FOR: "C49"
*** ERROR - PART '*' NOT FOUND FOR: "C44"
*** ERROR - PART '*' NOT FOUND FOR: "U4"
*** ERROR - PART '*' NOT FOUND FOR: "L9"
